City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Baykit,RU,2021-01-07 21:30:57,61.67,96.37,-14.55,80,6,4.85,clear sky
60,Kayes,ML,2021-01-07 21:30:57,14.0,-11.0,81.9,14,0,6.24,clear sky
61,Komsomolskiy,UZ,2021-01-07 21:30:58,40.4272,71.7189,23.0,68,90,11.5,mist
62,Husavik,IS,2021-01-07 21:30:58,66.0449,-17.3389,24.8,46,0,17.27,clear sky
63,Lebu,CL,2021-01-07 21:30:58,-37.6167,-73.65,58.1,68,3,22.37,clear sky
64,Coihaique,CL,2021-01-07 21:30:59,-45.5752,-72.0662,59.0,51,40,8.05,scattered clouds
65,Ishigaki,JP,2021-01-07 21:30:59,24.3448,124.1572,50.0,93,75,19.57,broken clouds
66,East London,ZA,2021-01-07 21:30:59,-33.0153,27.9116,70.84,80,0,17.92,clear sky
67,Lorengau,PG,2021-01-07 21:31:00,-2.0226,147.2712,83.52,74,81,4.74,light rain
68,Chaihe,CN,2021-01-07 21:31:00,44.7667,129.7,-26.25,83,87,5.59,overcast clouds
69,Pemba,MZ,2021-01-07 21:31:00,-12.974,40.5178,80.6,83,20,10.36,few clouds
70,Pisco,PE,2021-01-07 21:31:00,-13.7,-76.2167,77.0,69,0,25.32,light rain
71,Jaguaquara,BR,2021-01-07 21:31:01,-13.5306,-39.9708,72.16,74,2,10.09,clear sky
72,Perth,AU,2021-01-07 21:26:35,-31.9333,115.8333,81.0,21,0,8.05,clear sky
73,Ribeira Grande,PT,2021-01-07 21:31:01,38.5167,-28.7,55.4,71,20,14.97,light rain
74,Cherskiy,RU,2021-01-07 21:31:01,68.75,161.3,-14.91,89,98,1.34,overcast clouds
75,Panjab,AF,2021-01-07 21:31:01,34.388,67.0233,-2.45,85,11,6.91,few clouds
76,Tiksi,RU,2021-01-07 21:31:02,71.6872,128.8694,-14.73,89,100,18.68,overcast clouds
77,Havoysund,NO,2021-01-07 21:31:02,70.9963,24.6622,28.4,74,0,34.52,clear sky
78,Salalah,OM,2021-01-07 21:31:03,17.0151,54.0924,71.6,28,0,10.36,clear sky
79,Tazovskiy,RU,2021-01-07 21:31:03,67.4667,78.7,-7.76,88,71,19.64,broken clouds
80,New Norfolk,AU,2021-01-07 21:31:04,-42.7826,147.0587,62.01,80,9,1.01,clear sky
81,Khatanga,RU,2021-01-07 21:31:04,71.9667,102.5,0.66,93,100,15.03,light snow
82,Severo-Kurilsk,RU,2021-01-07 21:31:05,50.6789,156.125,18.86,82,38,5.66,scattered clouds
83,Ponta Delgada,PT,2021-01-07 21:31:05,37.7333,-25.6667,53.6,71,40,13.8,light rain
84,Saint-Philippe,RE,2021-01-07 21:31:05,-21.3585,55.7679,77.0,73,0,5.75,clear sky
85,Peterhead,GB,2021-01-07 21:31:05,57.5058,-1.7981,36.0,93,75,11.5,broken clouds
86,Ozinki,RU,2021-01-07 21:31:05,51.1786,49.6769,23.11,98,100,13.04,overcast clouds
87,Praia,CV,2021-01-07 21:31:06,14.9215,-23.5087,75.2,69,0,11.5,clear sky
88,Boa Vista,BR,2021-01-07 21:31:06,2.8197,-60.6733,87.8,55,75,10.36,moderate rain
89,Neepawa,CA,2021-01-07 21:31:06,50.2289,-99.4664,32.0,100,90,5.75,overcast clouds
90,Cape Town,ZA,2021-01-07 21:31:06,-33.9258,18.4232,69.01,73,20,17.27,few clouds
91,Bonga,ET,2021-01-07 21:31:07,7.2833,36.2333,61.45,81,3,1.52,clear sky
92,Talnakh,RU,2021-01-07 21:31:07,69.4865,88.3972,-9.98,89,100,13.29,light snow
93,Robore,BO,2021-01-07 21:31:07,-18.3333,-59.75,86.74,55,38,5.12,scattered clouds
94,Jamestown,US,2021-01-07 21:27:24,42.097,-79.2353,28.99,86,90,6.91,overcast clouds
95,Hermanus,ZA,2021-01-07 21:31:08,-34.4187,19.2345,68.0,75,55,11.01,broken clouds
96,Vagur,FO,2021-01-07 21:31:08,61.4732,-6.8119,32.97,87,87,20.65,overcast clouds
97,San Policarpo,PH,2021-01-07 21:31:08,12.1791,125.5072,80.24,83,87,8.59,moderate rain
98,Port Hedland,AU,2021-01-07 21:31:09,-20.3167,118.5667,82.4,83,75,1.16,broken clouds
99,Honiara,SB,2021-01-07 21:31:09,-9.4333,159.95,86.34,64,44,2.51,scattered clouds
100,Provideniya,RU,2021-01-07 21:31:09,64.3833,-173.3,-7.83,82,9,3.91,clear sky
101,Barrow,US,2021-01-07 21:30:52,71.2906,-156.7887,-11.2,77,20,8.05,few clouds
102,Clyde River,CA,2021-01-07 21:31:09,70.4692,-68.5914,-20.2,69,20,4.61,few clouds
103,Ponta Do Sol,PT,2021-01-07 21:31:10,32.6667,-17.1,55.4,88,75,17.27,moderate rain
104,Da Nang,VN,2021-01-07 21:31:10,16.0678,108.2208,68.0,94,75,2.3,light rain
105,Nioro,GM,2021-01-07 21:31:10,13.35,-15.75,73.74,46,0,8.61,clear sky
106,Bathsheba,BB,2021-01-07 21:31:10,13.2167,-59.5167,80.6,74,40,19.57,scattered clouds
107,Kloulklubed,PW,2021-01-07 21:31:11,7.0419,134.2556,75.2,100,90,12.1,overcast clouds
108,Merritt Island,US,2021-01-07 21:31:12,28.5392,-80.672,72.0,56,40,11.5,scattered clouds
109,Lavrentiya,RU,2021-01-07 21:31:12,65.5833,-171.0,-12.32,84,3,5.12,clear sky
110,Nyagan,RU,2021-01-07 21:31:12,62.1406,65.3936,-3.77,92,100,4.79,light snow
111,Katangli,RU,2021-01-07 21:31:12,51.7102,143.2326,-14.6,82,100,10.76,overcast clouds
112,Avarua,CK,2021-01-07 21:31:13,-21.2078,-159.775,84.2,70,40,13.8,light rain
113,Samarai,PG,2021-01-07 21:31:13,-10.6167,150.6667,85.14,74,97,8.81,heavy intensity rain
114,Mar Del Plata,AR,2021-01-07 21:31:13,-38.0023,-57.5575,73.4,68,75,11.5,broken clouds
