City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
303,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
313,Male,MV,80.6,moderate rain,4.1748,73.5089,Hotel Octave Maldives
314,Neiafu,TO,77.0,light rain,-18.65,-173.9833,Mystic Sands
315,Moerai,PF,78.3,broken clouds,-22.4333,-151.3333,Le Manotel
319,Fare,PF,80.44,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
324,Port Blair,IN,79.7,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
325,Gao,ML,77.59,clear sky,16.6362,1.6369999999999998,
329,Upington,ZA,82.4,clear sky,-28.4478,21.2561,River Place Manor
330,Auki,SB,81.61,heavy intensity rain,-8.7676,160.7034,Auki Motel
332,Basoko,CD,76.35,broken clouds,1.2391,23.616,Flat Hotel La Benediction
333,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
353,Eydhafushi,MV,81.03,light rain,5.1033,73.0708,Soneva Fushi
354,Itarema,BR,80.67,few clouds,-2.9248,-39.9167,Windvillage
355,Kongoussi,BF,78.98,clear sky,13.3258,-1.5347,Hôtel La Sagesse
359,Caraballeda,VE,77.0,light intensity drizzle,10.6112,-66.8522,Hotel 15 Letras
363,Gilbues,BR,80.87,clear sky,-9.8317,-45.3439,Hotel Camapuã
368,Cidreira,BR,76.8,overcast clouds,-30.1811,-50.2056,Hotel Castelo
370,Pandan,PH,78.37,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
371,Graaff-Reinet,ZA,77.0,scattered clouds,-32.2522,24.5308,Rietjiesbos B&B
372,Madang,PG,79.36,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
374,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Lua Mansa Pousada
376,Contamana,PE,76.87,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
377,Gamba,GA,75.67,light rain,-2.65,10.0,
381,Sechura,PE,79.43,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
388,Lazaro Cardenas,MX,80.11,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
389,Nova Olinda Do Norte,BR,80.55,moderate rain,-3.8881,-59.0942,Casa Juazeiro
394,Omboue,GA,77.11,moderate rain,-1.5746,9.2618,Hotel Olako
395,Kidal,ML,76.53,clear sky,18.4411,1.4078,
396,Santarem,BR,87.8,light rain,-2.4431,-54.7083,Hotel Imperador
400,Tabou,CI,78.58,scattered clouds,4.423,-7.3528,hotêl doufoulougou
402,Bowen,AU,75.2,moderate rain,-20.0167,148.2333,Castle Motor Lodge Motel
404,Kaduna,NG,75.72,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
410,Yenagoa,NG,77.22,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
423,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
427,Koulikoro,ML,75.65,clear sky,14.0,-7.75,
430,Las Varas,MX,77.0,overcast clouds,21.1667,-105.1667,Casa Palapas
438,Sao Gabriel Da Cachoeira,BR,75.79,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
444,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
